Variante,AUC,F1,Recall
"LOF k=20 + PCA(10D, 93% var)",0.890125,0.735202492211838,0.59
LOF k=20 (baseline 80D),0.8700625000000001,0.7964601769911505,0.675
"LOF k=20 + PCA(15D, 96% var)",0.8686875,0.7267080745341615,0.585
"LOF k=20 + PCA(30D, 99% var)",0.8501875000000001,0.7515151515151515,0.62
"LOF k=20 + PCA(20D, 97% var)",0.8488125,0.7267080745341615,0.585
"LOF k=20 + 95D-mec + PCA(20D, 96% var)",0.845625,0.7317073170731707,0.6
LOF k=30 + PCA(20D),0.8455624999999999,0.6753246753246753,0.52
"LOF k=20 + 95D-mec + PCA(25D, 97% var)",0.8382499999999999,0.7355623100303952,0.605
LOF k=5 + PCA(20D),0.8359375,0.7567567567567568,0.63
LOF k=50 + PCA(20D),0.8330624999999999,0.6195286195286195,0.46
LOF k=10 + PCA(20D),0.826,0.6981132075471698,0.555
